"ModelID","Seed","Global.Power","Conjunctive.Power","Disjunctive.Power","FWER"
1,2319,0.517,0.326,0.517,0.014
2,2879,0.675,0.502,0.674,0.021
3,3113,0.627,0.43,0.627,0.01
4,1414,0.77,0.586,0.769,0.013
5,1483,0.737,0.543,0.736,0.021
6,1621,0.784,0.66,0.784,0.018
7,9956,0.816,0.664,0.814,0.008
8,9876,0.835,0.717,0.833,0.007
9,2794,0.7,0.199,0.7,0.011
10,4756,0.829,0.335,0.829,0.017
11,5053,0.775,0.277,0.775,0.017
12,2306,0.859,0.403,0.859,0.021
13,4713,0.838,0.305,0.838,0.009
14,3466,0.892,0.382,0.892,0.025
15,296,0.914,0.031,0.914,0.005
16,3844,0.929,0.014,0.929,0.003
17,8916,0.808,0.184,0.808,0.03
18,8726,0.88,0.282,0.88,0.016
19,2316,0.842,0.212,0.842,0.024
20,3106,0.889,0.297,0.889,0.018
21,3130,0.877,0.257,0.877,0.028
22,5052,0.92,0.287,0.92,0.016
23,4118,0.95,0.005,0.949,0.003
24,7632,0.951,0.003,0.951,0
25,7886,0.832,0.23,0.832,0
26,1714,0.895,0.277,0.895,0
27,5993,0.862,0.277,0.862,0
28,2175,0.896,0.283,0.896,0
29,496,0.881,0.228,0.881,0
30,9854,0.911,0.27,0.911,0
31,5914,0.968,0.005,0.968,0
32,4439,0.958,0.004,0.958,0
